StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q12,Q4,Q11,Q5,Q6,Q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please construct your ideal pizza. Your limitation is that you can only pick one choice for crust, sauce, cheese, meat, vegetable, and seasoning. The survey will take less than 5 minutes to complete. 
I agree to participate.",What kind of pizza crust do you prefer?,What kind of pizza sauce do you prefer?,Do you want cheese on your pizza?,What kind of cheese do you want on the pizza?,Do you want meat on your pizza?,What kind of meat do you want on the pizza?,What kind of vegetables do you want on the pizza?,What seasoning do you want on the finished pizza?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}"
2019-04-18 16:46:44,2019-04-18 16:47:10,Survey Preview,,100,26,True,2019-04-18 16:47:11,R_79BLYYzhOzO2aPL,,,,,38.6432952880859375,-90.25749969482421875,preview,EN,No,Cheese-stuffed,Marinara / Tomato,Yes,Mozzarella,Yes,Pepperoni,Onion,None
2019-04-18 16:48:12,2019-04-18 16:48:53,Survey Preview,,100,40,True,2019-04-18 16:48:53,R_1jOIbw61DYYw6I3,,,,,38.6432952880859375,-90.25749969482421875,preview,EN,No,,,Yes,Gouda,Yes,Sausage,Olives,Balsamic Vinegar Drizzle
2019-04-18 16:51:55,2019-04-18 16:52:51,Survey Preview,,100,56,True,2019-04-18 16:52:51,R_2qBHsYTH91SIkv3,,,,,38.6432952880859375,-90.25749969482421875,preview,EN,No,Neapolitan,Alfredo / White,Yes,Gouda,Yes,Pepperoni,Olives,Balsamic Vinegar Drizzle
2019-04-18 16:54:26,2019-04-18 16:55:41,Survey Preview,,100,75,True,2019-04-18 16:55:41,R_2EGhLf0pMNgP1OW,,,,,38.6432952880859375,-90.25749969482421875,preview,EN,No,Cheese-stuffed,Marinara / Tomato,Yes,Cheddar,Yes,Chicken,None,None
2019-04-18 17:21:06,2019-04-18 17:21:09,Survey Preview,,100,3,True,2019-04-18 17:21:10,R_3qO2FUQTV1MtFw6,,,,,38.6432952880859375,-90.25749969482421875,preview,EN,No,,,,,,,,
2019-04-18 17:22:11,2019-04-18 17:22:40,Survey Preview,,100,29,True,2019-04-18 17:22:41,R_1LncDKBTC6Z7uw2,,,,,38.6432952880859375,-90.25749969482421875,preview,EN,Yes,,,No,,No,,Tomato,Balsamic Vinegar Drizzle
2019-04-18 17:25:23,2019-04-18 17:25:27,Survey Preview,,100,4,True,2019-04-18 17:25:28,R_A7Bxcc6W67y9DX3,,,,,38.6432952880859375,-90.25749969482421875,preview,EN,No,,,,,,,,
2019-04-18 17:25:29,2019-04-18 17:26:37,Survey Preview,,100,68,True,2019-04-18 17:26:38,R_3IQv6oEL0CYR1S1,,,,,38.6432952880859375,-90.25749969482421875,preview,EN,Yes,Neapolitan,Olive Oil,Yes,Provolone,Yes,Chicken,Onion,Oregano
2019-04-18 17:26:39,2019-04-18 17:27:03,Survey Preview,,100,24,True,2019-04-18 17:27:04,R_2rVkuy1YrbSkRTC,,,,,38.6432952880859375,-90.25749969482421875,preview,EN,Yes,Cheese-stuffed,Pesto,No,,No,,Tomato,None
2019-04-22 13:59:25,2019-04-22 13:59:56,Survey Preview,,100,30,True,2019-04-22 13:59:56,R_pyjVSfp1zqyK2DT,,,,,38.59039306640625,-90.34670257568359375,preview,EN,Yes,Neapolitan,Marinara / Tomato,No,,No,,Onion,Olive Oil Drizzle
2019-04-23 15:33:55,2019-04-23 15:35:00,IP Address,165.134.212.143,100,64,True,2019-04-23 15:35:00,R_27asywLeHjvFuTm,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Deep Dish,Marinara / Tomato,Yes,Mozzarella,Yes,Pepperoni,Tomato,Olive Oil Drizzle
2019-04-23 15:34:19,2019-04-23 15:35:40,IP Address,165.134.212.137,100,81,True,2019-04-23 15:35:40,R_2dmvfKuDmnUNFX3,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Neapolitan,Marinara / Tomato,Yes,Mozzarella,Yes,Pepperoni,Tomato,None
2019-04-23 15:37:29,2019-04-23 15:39:28,IP Address,165.134.212.138,100,119,True,2019-04-23 15:39:28,R_2qpHh8rYbr2Yvzo,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Deep Dish,Marinara / Tomato,Yes,Asiago,Yes,Pepperoni,Olives,Oregano
2019-04-23 15:47:05,2019-04-23 15:48:11,IP Address,165.134.212.141,100,65,True,2019-04-23 15:48:11,R_31jCIp1zlSO2OFi,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Cheese-stuffed,Marinara / Tomato,Yes,Cheddar,Yes,Chicken,Tomato,Oregano
2019-04-23 15:48:47,2019-04-23 15:50:09,IP Address,165.134.212.138,100,81,True,2019-04-23 15:50:09,R_2YXqbIAQL4v2xsW,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Cheese-stuffed,Marinara / Tomato,Yes,Cheddar,Yes,Chicken,Tomato,None
2019-04-23 15:49:53,2019-04-23 15:51:01,IP Address,165.134.212.141,100,68,True,2019-04-23 15:51:02,R_1I4KO5bWkgRUGjT,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Neapolitan,Marinara / Tomato,Yes,Mozzarella,Yes,Sausage,Onion,None
2019-04-23 15:53:26,2019-04-23 15:58:48,IP Address,165.134.212.142,100,321,True,2019-04-23 15:58:48,R_3PcQXIlswztJ6Js,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Cheese-stuffed,Alfredo / White,Yes,Asiago,Yes,Bacon,Green pepper,Oregano
2019-04-23 16:06:59,2019-04-23 16:10:51,IP Address,165.134.212.141,100,232,True,2019-04-23 16:10:52,R_1dFYgn34S8gzhLR,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Deep Dish,Marinara / Tomato,Yes,Mozzarella,Yes,Sausage,Tomato,Sea Salt
2019-04-23 17:00:08,2019-04-23 17:01:15,IP Address,76.217.238.146,100,67,True,2019-04-23 17:01:16,R_1onXoZgwdEsX1zG,,,,,38.5753021240234375,-90.26509857177734375,anonymous,EN,Yes,Sicilian style,Marinara / Tomato,Yes,Mozzarella,Yes,Pepperoni,Tomato,Sea Salt
2019-04-23 21:02:44,2019-04-23 21:05:15,IP Address,99.165.104.139,100,150,True,2019-04-23 21:05:15,R_3hcCx3fmd7tuTCc,,,,,38.59039306640625,-90.34670257568359375,anonymous,EN,Yes,Neapolitan,Marinara / Tomato,Yes,Mozzarella,No,,None,None
2019-04-24 06:15:10,2019-04-24 06:16:26,IP Address,162.242.108.253,100,75,True,2019-04-24 06:16:26,R_vGI1y0OcnVXieyJ,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Cheese-stuffed,Alfredo / White,Yes,,Yes,Beef / Hamburger,Tomato,Sea Salt
2019-04-24 08:59:22,2019-04-24 09:00:06,IP Address,165.134.85.10,100,44,True,2019-04-24 09:00:06,R_2qeeIxpSGqgVLNN,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Sicilian style,Marinara / Tomato,Yes,Cheddar,Yes,Pepperoni,None,None
2019-04-24 12:28:40,2019-04-24 12:30:14,IP Address,71.14.208.13,100,94,True,2019-04-24 12:30:15,R_yJ604R0vG6nkYyB,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Cheese-stuffed,Marinara / Tomato,Yes,Mozzarella,Yes,Sausage,Green pepper,Oregano
2019-04-24 13:53:02,2019-04-24 13:54:40,IP Address,165.134.91.26,100,97,True,2019-04-24 13:54:40,R_2SIZxwOu6I6UP48,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,Yes,Sicilian style,Marinara / Tomato,Yes,Provolone,Yes,Sausage,Tomato,Olive Oil Drizzle
2019-04-25 11:39:49,2019-04-25 11:40:28,IP Address,107.77.207.42,100,38,True,2019-04-25 11:40:29,R_9p1gECo2WjwttMl,,,,,41.8130035400390625,-87.82360076904296875,anonymous,EN,Yes,Deep Dish,Marinara / Tomato,Yes,Mozzarella,No,,Onion,Oregano
